genotype,sample,dpi,cytokine,avg_conc,log10_conc
WT,2,0,il7,1.205,0.080987047
WT,2,6,il7,1.205,0.080987047
WT,2,9,il7,1.205,0.080987047
WT,2,12,il7,1.205,0.080987047
WT,2,9,ip10,205.02,2.311796229
WT,2,3,ip10,200.8,2.302763708
KO,2,6,ip10,189.215,2.276955562
WT,2,6,ip10,169.725,2.229745817
KO,2,9,ip10,106.775,2.02846958
KO,2,3,ip10,39.83,1.600210306
KO,2,0,ip10,1.14,0.056904851
WT,2,0,ip10,1.14,0.056904851
WT,2,12,ip10,1.14,0.056904851
WT,2,3,kc,61.055,1.785721236
WT,2,6,kc,49.36,1.693375151
KO,2,6,kc,10.74,1.031004281
KO,2,3,kc,10.415,1.017659274
WT,2,9,kc,6.38,0.804820679
KO,2,9,kc,5.835,0.76604086
WT,2,12,kc,3.85,0.58546073
WT,2,0,kc,2.76,0.440909082
KO,2,0,kc,2.39,0.378397901
WT,2,9,lix,277.565,2.443364702
KO,2,9,lix,234.115,2.36942924
WT,2,6,lix,145.985,2.164308234
WT,2,12,lix,70.48,1.848065895
KO,2,6,lix,57.105,1.756674136
WT,2,3,lix,36.215,1.55888849
KO,2,0,lix,25.93,1.413802517
KO,2,3,lix,18.11,1.25791845
WT,2,0,lix,12.4325,1.094558468
WT,2,9,mcp1,170.415,2.231507819
KO,2,9,mcp1,167.205,2.22324926
WT,2,6,mcp1,145.375,2.162489728
WT,2,3,mcp1,58.205,1.764960294
KO,2,6,mcp1,44.08,1.644241586
KO,2,3,mcp1,9.915,0.996292719
WT,2,12,mcp1,5.755,0.760045328
WT,2,0,mcp1,4.3,0.633468456
KO,2,0,mcp1,3.28,0.515873844
WT,2,6,mdc,28.58,1.456062224
WT,2,3,mdc,25.655,1.409172019
KO,2,3,mdc,21.63,1.335056519
WT,2,12,mdc,14.945,1.174495919
